PACKET_ID,SEGMENT_ID,PACKET_TYPE,CONTROL_PACKET_TYPE/APP_NAME,SOURCE_ID,DESTINATION_ID,TRANSMITTER_ID,RECEIVER_ID,APP_LAYER_ARRIVAL_TIME(US),TRX_LAYER_ARRIVAL_TIME(US),NW_LAYER_ARRIVAL_TIME(US),MAC_LAYER_ARRIVAL_TIME(US),PHY_LAYER_ARRIVAL_TIME(US),PHY_LAYER_START_TIME(US),PHY_LAYER_END_TIME(US),APP_LAYER_PAYLOAD(Bytes),TRX_LAYER_PAYLOAD(Bytes),NW_LAYER_PAYLOAD(Bytes),MAC_LAYER_PAYLOAD(Bytes),PHY_LAYER_PAYLOAD(Bytes),PHY_LAYER_OVERHEAD(Bytes),PACKET_STATUS,SOURCE_IP,DESTINATION_IP,GATEWAY_IP,NEXT_HOP_IP,
0,N/A,Control_Packet,DAO,SENSOR-4,SINKNODE-1,SENSOR-4,SINKNODE-1,N/A,N/A,5034554.000,5034554.000,5036154.000,5036154.000,5037914.000,N/A,N/A,0.000,44.000,49.000,6.000,Successful,FDEC:3017:E256:9BB8:1FE7:2745:6BDD:B053,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,FDEC:3017:E256:9BB8:1FE7:2745:6BDD:B053,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,
0,N/A,Control_Packet,DAO,SENSOR-6,SENSOR-7,SENSOR-6,SENSOR-7,N/A,N/A,5034402.934,5034402.934,5036322.934,5036322.934,5038082.934,N/A,N/A,0.000,44.000,49.000,6.000,Collided,FDEC:3017:E256:9BB8:1FE7:962D:4D1F:C7EE,FDEC:3017:E256:9BB8:1FE7:4563:9051:53CE,FDEC:3017:E256:9BB8:1FE7:962D:4D1F:C7EE,FDEC:3017:E256:9BB8:1FE7:4563:9051:53CE,
7,0,Sensing,App1_SENSOR_APP,SENSOR-8,NODE-3,SENSOR-8,SENSOR-7,6000000.000,6000000.000,6000000.000,6000000.000,6000960.000,6000960.000,6003808.000,50.000,50.000,58.000,78.000,83.000,6.000,Successful,FDEC:3017:E256:9BB8:1FE7:DC30:4482:0AC7,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,FDEC:3017:E256:9BB8:1FE7:DC30:4482:0AC7,FDEC:3017:E256:9BB8:1FE7:4563:9051:53CE,
0,N/A,Control_Packet,DAO,SENSOR-4,SINKNODE-1,SENSOR-4,SINKNODE-1,N/A,N/A,6007409.400,6007409.400,6008369.400,6008369.400,6010129.400,N/A,N/A,0.000,44.000,49.000,6.000,Collided,FDEC:3017:E256:9BB8:1FE7:2745:6BDD:B053,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,FDEC:3017:E256:9BB8:1FE7:2745:6BDD:B053,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,
0,N/A,Control_Packet,DAO,SENSOR-6,SENSOR-7,SENSOR-6,SENSOR-7,N/A,N/A,6016351.841,6016351.841,6016991.841,6016991.841,6018751.841,N/A,N/A,0.000,44.000,49.000,6.000,Collided,FDEC:3017:E256:9BB8:1FE7:962D:4D1F:C7EE,FDEC:3017:E256:9BB8:1FE7:4563:9051:53CE,FDEC:3017:E256:9BB8:1FE7:962D:4D1F:C7EE,FDEC:3017:E256:9BB8:1FE7:4563:9051:53CE,
0,N/A,Control_Packet,DAO,SENSOR-7,SINKNODE-1,SENSOR-7,SINKNODE-1,N/A,N/A,6008587.720,6008587.720,6021684.374,6021684.374,6023444.374,N/A,N/A,0.000,44.000,49.000,6.000,Successful,FDEC:3017:E256:9BB8:1FE7:4563:9051:53CE,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,FDEC:3017:E256:9BB8:1FE7:4563:9051:53CE,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,
0,N/A,Control_Packet,DAO,SENSOR-8,SENSOR-7,SENSOR-8,SENSOR-7,N/A,N/A,6023897.760,6023897.760,6025817.760,6025817.760,6027577.760,N/A,N/A,0.000,44.000,49.000,6.000,Successful,FDEC:3017:E256:9BB8:1FE7:DC30:4482:0AC7,FDEC:3017:E256:9BB8:1FE7:4563:9051:53CE,FDEC:3017:E256:9BB8:1FE7:DC30:4482:0AC7,FDEC:3017:E256:9BB8:1FE7:4563:9051:53CE,
0,N/A,Control_Packet,DAO,SENSOR-5,SINKNODE-1,SENSOR-5,SINKNODE-1,N/A,N/A,6024079.040,6024079.040,6029519.040,6029519.040,6031279.040,N/A,N/A,0.000,44.000,49.000,6.000,Successful,FDEC:3017:E256:9BB8:1FE7:0B65:8EF5:B67C,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,FDEC:3017:E256:9BB8:1FE7:0B65:8EF5:B67C,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,
0,N/A,Control_Packet,DAO,SENSOR-6,SENSOR-7,SENSOR-6,SENSOR-7,N/A,N/A,6034146.120,6034146.120,6036066.120,6036066.120,6037826.120,N/A,N/A,0.000,44.000,49.000,6.000,Collided,FDEC:3017:E256:9BB8:1FE7:962D:4D1F:C7EE,FDEC:3017:E256:9BB8:1FE7:4563:9051:53CE,FDEC:3017:E256:9BB8:1FE7:962D:4D1F:C7EE,FDEC:3017:E256:9BB8:1FE7:4563:9051:53CE,
0,N/A,Control_Packet,DAO,SENSOR-4,SINKNODE-1,SENSOR-4,SINKNODE-1,N/A,N/A,6034327.400,6034327.400,6036247.400,6036247.400,6038007.400,N/A,N/A,0.000,44.000,49.000,6.000,Successful,FDEC:3017:E256:9BB8:1FE7:2745:6BDD:B053,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,FDEC:3017:E256:9BB8:1FE7:2745:6BDD:B053,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,
0,N/A,Control_Packet,DIO,SENSOR-4,Broadcast-0,SENSOR-4,SINKNODE-1,N/A,N/A,6400684.000,6400684.000,6402604.000,6402604.000,6404492.000,N/A,N/A,0.000,48.000,53.000,6.000,Successful,FDEC:3017:E256:9BB8:1FE7:2745:6BDD:B053,FF00:0:0:0:0:0:0:0,FDEC:3017:E256:9BB8:1FE7:2745:6BDD:B053,FF00:0:0:0:0:0:0:0,
0,N/A,Control_Packet,DIO,SENSOR-4,Broadcast-0,SENSOR-4,SENSOR-6,N/A,N/A,6400684.000,6400684.000,6402604.000,6402604.000,6404492.000,N/A,N/A,0.000,48.000,53.000,6.000,Successful,FDEC:3017:E256:9BB8:1FE7:2745:6BDD:B053,FF00:0:0:0:0:0:0:0,FDEC:3017:E256:9BB8:1FE7:2745:6BDD:B053,FF00:0:0:0:0:0:0:0,
0,N/A,Control_Packet,DIO,SENSOR-4,Broadcast-0,SENSOR-4,SENSOR-7,N/A,N/A,6400684.000,6400684.000,6402604.000,6402604.000,6404492.000,N/A,N/A,0.000,48.000,53.000,6.000,Successful,FDEC:3017:E256:9BB8:1FE7:2745:6BDD:B053,FF00:0:0:0:0:0:0:0,FDEC:3017:E256:9BB8:1FE7:2745:6BDD:B053,FF00:0:0:0:0:0:0:0,
0,N/A,Control_Packet,DIO,SENSOR-5,Broadcast-0,SENSOR-5,SINKNODE-1,N/A,N/A,6467577.000,6467577.000,6468217.000,6468217.000,6470105.000,N/A,N/A,0.000,48.000,53.000,6.000,Successful,FDEC:3017:E256:9BB8:1FE7:0B65:8EF5:B67C,FF00:0:0:0:0:0:0:0,FDEC:3017:E256:9BB8:1FE7:0B65:8EF5:B67C,FF00:0:0:0:0:0:0:0,
